CLASS_STR,CLASS_NUM,MED1,MED2,MED3,MED4,MED5,MED6,MED7,MED8,MED9,MED10
S',0,0.046443,0.031733,0.062577,0.662921,1.454993,2.567878,3.973769,5.291051,7.150222,5.19238
S',0,0.091757,0.066854,0.112539,0.628205,2.648563,4.366297,6.45142,7.92939,9.24053,9.734327
S',0,0.054298,0.050737,0.107189,0.779693,1.862557,2.785057,3.047597,2.668143,3.671243,4.547837
S',0,0.034486,0.034058,0.067857,0.347366,0.677926,1.071743,1.391075,1.822097,2.28103,1.475807
S',0,0.10106,0.026652,0.021664,0.126798,0.325935,0.595971,0.989863,1.283907,2.27186,1.578473
S',0,0.085388,0.047023,0.065849,0.494819,1.088841,1.878267,2.594137,2.800037,1.636063,1.709373
S',0,0.126938,0.062788,0.070992,0.903809,2.477953,4.340351,6.919843,7.6242,3.515227,2.550226
S',0,0.151652,0.0383,0.02825,0.111576,0.707189,1.249175,1.68092,1.945333,2.338433,2.77214
S',0,0.030437,0.013538,0.013934,0.155945,0.442598,0.736102,0.990243,1.17736,1.648037,2.115853
S',0,0.071122,0.042693,0.049619,0.32919,0.94643,1.658337,2.461503,3.039276,4.229245,4.637288
S',0,0.074514,0.048252,0.048071,0.283219,0.696897,1.34924,1.980447,2.667283,4.371103,4.589517
S',0,0.117613,0.089535,0.040413,0.10275,0.308936,0.571326,0.631847,0.844936,1.312582,1.80353
S',0,0.105724,0.102731,0.214179,0.796629,1.607927,2.390227,2.590377,2.38652,2.625473,2.918464
S',0,0.170567,0.050052,0.030088,0.101603,0.510934,0.941438,1.344906,1.681963,1.776394,1.894377
S',0,0.540712,0.08455,0.084308,0.133724,0.46651,0.74254,0.935706,1.133862,1.471343,1.446862
S',0,0.074415,0.043182,0.05125,0.509077,1.056656,1.204947,1.400211,1.717731,2.183786,1.728971
S',0,0.115892,0.118591,0.322516,10.118835,22.88295,37.96325,46.19625,52.95125,64.83395,52.830265
S',0,0.06362,0.056057,0.098146,0.448473,1.010008,1.613411,2.433446,3.007813,3.950321,3.090068
S',0,0.046196,0.019936,0.031818,0.449636,1.299127,2.15782,3.234977,3.94203,3.520907,2.983357
S',0,0.050668,0.035002,0.072542,0.969194,2.40615,3.565157,4.275897,5.53177,6.760283,6.419523
S',0,0.105909,0.084717,0.134419,1.098952,2.83285,4.532013,5.787567,5.89992,6.99107,5.907963
S',0,0.095239,0.027909,0.02086,0.08636,0.192755,0.309432,0.5332,0.830565,1.285816,1.747024
S',0,0.170008,0.242319,0.865701,6.39093,11.91801,14.42488,14.698233,15.823333,11.218853,7.56119
S',0,0.093149,0.081024,0.094532,1.143079,3.173277,6.920753,10.130563,11.240393,13.873263,10.873803
S',0,0.347553,0.055826,0.060934,0.121298,0.791436,1.56042,2.19484,2.012685,2.580264,2.315325
S',0,0.090477,0.094794,0.133376,0.739613,1.421873,2.906603,3.659437,4.215637,3.404837,3.274831
S',0,0.038299,0.035788,0.202985,1.840739,4.259305,6.357251,7.38291,5.499054,7.220661,9.78069
S',0,0.048215,0.030074,0.060755,0.360281,0.913016,1.549031,1.772349,2.110133,2.600835,2.394176
S',0,0.023907,0.014331,0.040153,0.265726,0.659767,1.315918,1.742794,2.61188,3.489327,4.53519
S',0,0.063338,0.037731,0.054428,0.728716,1.814039,3.247797,4.24076,3.741873,4.129543,3.705043
S',0,0.065258,0.02618,0.022515,0.135398,0.327348,0.658202,1.044087,1.528796,2.180023,1.96039
S',0,0.059835,0.026924,0.026148,0.215976,0.478946,0.757875,0.970586,1.111789,1.553894,1.689086
S',0,0.049811,0.035045,0.07538,0.710206,1.577497,2.44005,3.4417,3.665193,3.605699,2.4417
S',0,0.123121,0.077103,0.076545,0.256329,0.760937,1.546598,2.289987,4.019453,7.47711,8.42442
S',0,0.240294,0.130219,0.129396,0.417219,2.048347,4.374837,7.290583,11.9278,15.312167,11.889907
S',0,0.04482,0.022754,0.022727,0.118398,0.265452,0.501111,0.761107,0.911137,1.045769,1.355255
S',0,0.060059,0.023173,0.023968,0.182986,0.539248,1.089933,1.860991,2.139165,2.730509,4.629565
S',0,0.063886,0.050157,0.081437,0.904125,2.108271,3.00542,3.522227,3.69778,4.779757,5.272057
S',0,0.270947,0.050786,0.029791,0.083989,0.63563,1.442641,2.306691,3.8642,3.33698,2.596377
S',0,0.037976,0.015083,0.016754,0.117497,0.302302,0.575531,0.817361,1.090447,1.233456,1.67252
S',0,0.10562,0.040245,0.041547,0.254003,0.705789,1.286886,2.279755,3.198887,4.387223,3.247913
S',0,0.250691,0.1543,0.169974,0.424483,1.526831,2.37256,2.987633,2.625453,2.654557,2.740263
S',0,0.319404,0.069636,0.033407,0.073705,0.387563,0.716024,0.950056,1.162705,1.611033,2.255863
S',0,0.574765,0.071296,0.061893,0.165255,1.021455,2.325659,3.550033,4.128817,3.917913,3.665192
S',0,0.078727,0.025712,0.019746,0.075127,0.179277,0.283928,0.424846,0.543343,0.647296,0.640869
S',0,0.097043,0.039373,0.036534,0.387776,0.808524,1.573196,2.313405,3.728203,6.044713,5.132297
S',0,0.147343,0.126393,0.176262,2.201811,2.999356,3.62528,4.07665,4.340373,4.160953,4.28413
S',0,0.125187,0.030237,0.093887,0.274467,1.349374,2.612838,3.800693,4.390267,6.184873,5.355883
S',0,0.054288,0.027381,0.028562,0.25104,0.768042,1.35909,2.384919,2.737043,3.471043,3.013323
S',0,0.067787,0.042557,0.042771,0.172073,0.420576,0.68768,0.980052,1.090655,1.529863,1.611011
S',0,0.273537,0.094479,0.092437,0.23751,1.252454,2.895298,4.416113,6.784853,6.469533,4.247001
S',0,0.042022,0.022865,0.046414,1.408072,3.93438,6.717422,7.283995,7.023214,8.04079,3.294963
S',0,0.1648,0.062074,0.032616,0.124036,0.410146,0.663874,0.876662,0.984677,1.164719,1.037923
P',1,0.222254,0.041517,0.026766,0.104774,0.232357,0.37809,0.553761,0.780736,1.1014,0.657539
P',1,2.21826,2.36552,2.31645,2.48525,2.55092,3.62121,4.78216,6.15178,6.32325,4.91383
P',1,0.44178,0.035529,0.075689,0.664574,1.98929,3.48699,5.9357,6.99845,4.59286,2.76782
P',1,1.15737,0.560902,0.504118,0.373409,0.294644,0.35551,0.38168,0.55705,0.897009,0.857421
P',1,0.409136,0.058048,0.083348,0.280864,0.721749,1.32792,2.09144,1.81125,0.877671,0.60124
P',1,1.03653,0.053093,0.060462,0.440948,1.16844,2.15971,3.53303,4.91277,6.61259,8.12325
P',1,3.1222,1.424105,0.218854,0.10104,0.100442,0.10113,0.174615,0.184883,0.298737,0.189626
P',1,1.52479,1.2458,1.33736,2.42169,3.20768,3.99575,4.85067,4.7678,5.05457,4.19162
P',1,0.845991,0.460335,0.299449,0.167511,0.131512,0.116683,0.115043,0.127965,0.197178,0.252018
P',1,0.91046,0.7366,0.551831,0.569266,0.645522,0.642678,631,1.18302,1.58898,2.73499
P',1,2.142315,0.937124,0.380604,0.270148,0.238527,0.346838,0.384776,0.556244,0.838834,1.091318
P',1,0.326385,0.07595,0.029638,0.040573,0.061005,0.085716,0.100472,0.168948,0.246096,0.362812
P',1,0.243033,0.285782,0.672113,0.963674,1.25394,1.86542,1.95762,1.98132,2.55018,2.19711
P',1,0.237589,0.027417,0.013417,0.047766,0.122047,0.226519,0.29231,0.543344,0.784838,0.731173
P',1,0.091316,0.031017,0.014494,0.01329,0.025713,0.059078,0.087677,0.126483,0.156658,0.116188
P',1,0.684916,0.397816,0.325508,0.304045,0.348808,0.394893,0.438213,0.419811,0.377579,0.455508
P',1,0.297838,0.24982,0.415279,0.821285,1.19108,1.79531,2.75836,3.58262,4.47734,4.45593
P',1,3.383375,1.770005,0.614248,0.477825,0.465911,0.429062,0.646048,1.080086,2.131385,1.416097
P',1,0.536197,0.085772,0.086685,0.256185,1.27845,2.67434,3.76858,4.69552,6.61513,3.60375
P',1,0.980857,0.861845,0.642145,0.400934,0.539377,0.615702,0.635479,0.632347,0.961646,1.25235
P',1,1.46779,0.716056,0.971418,1.16121,2.41403,4.85757,6.06359,6.32026,4.02064,2.76599
P',1,3.1928,1.04919,0.658534,1.01838,1.79771,3.1817,4.55205,6.16951,7.94593,8.96566
P',1,1.39523,1.03001,1.57831,4.41254,8.08862,11456,14.6592,18.0002,17.2546,19093
P',1,0.735496,0.33659,0.27064,0.48289,1.3742,2.85846,4.33064,6.10085,9.8578,8.92953
P',1,0.368241,0.187014,0.173321,0.148178,0.183292,0.217546,0.289785,0.399475,0.586134,0.918747
P',1,0.077742,0.023211,0.01705,0.101078,0.295995,0.55517,0.764134,0.948067,1.93112,3.08696
P',1,0.106908,0.068408,0.089738,0.293216,0.605481,1.25594,2.06479,2.17085,3.0499,3.82704
P',1,0.430227,0.120034,0.054606,0.093426,0.212078,0.312162,0.577737,0.700693,1.15204,1.37636
P',1,0.575151,0.136409,0.087766,0.170639,0.390184,0.593068,0.749441,0.730787,0.811284,0.535378
P',1,4.26054,6.89433,17.1935,32.5433,32.6268,34.4951,37.8105,26.4261,19.6802,11.3442
P',1,0.710814,0.425826,0.63369,1.22057,2.24022,3.90269,5.10743,5.18933,6.2109,4.86593
P',1,1.31269,0.077261,0.103355,0.703605,3.81468,4.93167,6.43543,6.85831,11.6494,15.4029
P',1,3.77422,0.921256,0.705469,0.632366,0.951793,1.13051,1.32474,0.563757,0.455571,0.214164
P',1,1.84519,0.366121,0.299782,0.374596,0.925379,1.87084,2.37226,2.78957,3.77626,3.01196
P',1,0.327505,0.065028,0.071881,0.281801,0.461848,0.697851,0.831737,0.708274,0.696666,0.721636
P',1,0.361375,0.141858,0.140662,0.381761,0.83046,1.39661,2.24217,2.99188,2.99972,2.25205
P',1,1.134554,0.552989,0.393963,0.31777,0.22812,0.209758,0.206922,0.253549,0.388324,0.460655
P',1,3.593435,0.195106,0.049411,0.041601,0.07667,0.161228,0.267025,0.39907,0.666428,0.740247
P',1,0.360438,0.179211,0.326644,3.27326,7.68259,12.3239,13.2104,12.9991,11.2065,10.9495
P',1,0.57207,0.053671,0.040821,0.256867,0.756417,1.49521,2.35557,3.13459,4.19559,5.18336
P',1,0.657772,0.046038,0.032206,0.104213,0.221596,0.358759,0.463047,0.586979,0.762315,0.621929
P',1,0.125011,0.107112,0.136084,0.338083,0.690633,1.04619,1.56739,1.98884,1.86403,0.93895
P',1,1.35238,1.94352,0.103865,0.09482,0.082065,0.251645,0.391341,0.577533,0.794564,0.638155
P',1,0.161064,0.103896,0.115473,0.347583,1.46201,2.83507,4.04827,4.27208,3.02556,2.97732
P',1,0.311339,0.05205,0.06877,0.219607,0.595095,1.10397,1.41569,1.47929,1.31471,1.52432
P',1,0.09833,0.066419,0.069519,0.433339,1.05646,1.92824,2.41955,3.66354,5.14295,7.05624
P',1,0.07652,0.05086,0.056953,0.279808,0.480954,0.936021,1.33206,1.67233,1.8191,0.850863
P',1,0.03003,0.01882,0.033574,0.222175,0.578596,1.05938,1.61076,2.30346,2.77615,1.67852
P',1,2.02202,2.57726,3.34781,4.75317,6.56749,7.32729,6.08555,6.20681,7.29757,6.1088
P',1,0.077742,0.023211,0.01705,0.101078,0.295995,0.55517,0.764134,0.948067,1.93112,3.08696
P',1,1.7571,0.084658,0.031659,0.121148,0.313802,0.531943,0.95411,1.48373,2.84581,1.97019
P',1,1.11503,0.160051,0.114961,0.206601,0.368554,0.569803,0.707455,0.540121,0.573518,0.818064
P',1,2.55035,0.36381,0.344241,0.426936,2.42262,4.40886,5203,5.16344,3.88242,2.28657
P',1,1.496325,0.108101,0.025512,0.014021,0.027212,0.049935,0.078781,0.101723,0.193644,0.353164
P',1,0.203738,0.045913,0.042295,0.104228,0.213291,0.330347,0.376346,0.511021,0.642883,1.0832
P',1,0.47938,0.109862,0.085136,0.320931,0.536199,0.681606,0.784176,1.14367,2.03523,2.43351
P',1,1.42086,0.059941,0.028081,0.087438,0.203428,0.291179,0.461952,0.643736,0.69063,1.00365
